Month,Week,ManagedObjectid,Usage,MeterType
May,1,22723645,2000,Integrated
,,,,
May,1,22723067,3000,Integrated
,,,,
May,1,22724244,3000,Integrated
,,,,
May,1,22724003,2000,Integrated
,,,,
May,1,22723808,2000,Integrated
,,,,
May,1,77759547,0,Integrated
,,,,
May,1,22723953,2000,Integrated
,,,,
May,1,29531124,1000,Integrated
,,,,
May,1,22723053,3000,Integrated
,,,,
May,1,22723126,2000,Integrated
,,,,
May,1,29531069,2000,Integrated
,,,,
May,1,29531054,3000,Integrated
,,,,
May,1,71786552,6000,Integrated
,,,,
May,1,22724211,2000,Integrated
,,,,
May,1,71786608,2000,Integrated
,,,,
May,1,22723429,1000,Integrated
,,,,
May,1,22724021,2000,Integrated
,,,,
May,1,22723996,1000,Integrated
,,,,
May,1,22722624,2000,Integrated
,,,,
May,1,22724102,2000,Integrated
,,,,
May,1,71786625,1000,Integrated
,,,,
May,1,22673029,1000,Integrated
,,,,
May,1,22723390,2000,Integrated
,,,,
May,1,71786810,1000,Integrated
,,,,
May,1,22723838,3000,Integrated
,,,,
May,1,22724250,0,Integrated
,,,,
May,1,22724042,2000,Integrated
,,,,
May,1,22723775,3000,Integrated
,,,,
May,1,22723624,1000,Integrated
,,,,
May,1,22723978,2000,Integrated
,,,,
May,1,22723039,0,Integrated
,,,,
May,1,71786592,1000,Integrated
,,,,
May,1,77759524,2000,Integrated
,,,,
May,1,71778998,-1,Integrated
,,,,
May,1,71786760,1000,Integrated
,,,,
May,1,22723954,0,Integrated
,,,,
May,1,22724133,4000,Integrated
,,,,
May,1,22723824,2000,Integrated
,,,,
May,1,22723383,2000,Integrated
,,,,
