Station number,Station name,Region,Rainfall (mm),Mean,Percentile,Years of data,Latitude (°),Longitude (°),Elevation (m)
58186,NORTH MURWILLUMBAH (TWEED RIVER),NSW,6578.0,4570.7,-1.0,19,-28.33,153.40,-999
71075,PERISHER VALLEY AWS,NSW,6524.6,6459.9,-1.0,6,-36.41,148.41,1738
58137,KINGSCLIFF (WORAM PLACE),NSW,6507.3,5569.3,82.6,24,-28.26,153.58,5
40197,MT TAMBORINE FERN ST,QLD,6494.0,4693.4,94.7,96,-27.97,153.20,515
59146,KALANG (KOOROOWI (SHARABEL)),NSW,6431.0,4417.8,-1.0,10,-30.47,152.82,86
31185,MILLAA MILLAA ALERT,QLD,6418.0,6916.0,-1.0,12,-17.52,145.61,861
40931,O\'REILLYS ALERT,QLD,6381.0,4891.3,-1.0,9,-28.23,153.14,913
40335,MT TAMBORINE ALERT,QLD,6319.0,4748.2,-1.0,19,-27.97,153.21,520
32117,ALLINGHAM FORREST DRIVE,QLD,6314.3,7120.8,-1.0,2,-18.69,146.30,10
40417,MIAMI BARDON AVE,QLD,6298.2,4662.1,94.6,38,-28.07,153.42,5
58180,NIMBIN (GOOLMANGAR CREEK),NSW,6276.0,4103.9,-1.0,19,-28.61,153.21,60
63039,KATOOMBA (FARNELLS RD),NSW,6218.0,4159.2,99.1,108,-33.71,150.30,1017
